word,reading,priority,pos
アーミヤ,アーミヤ,5,固有名詞
ケルシー,ケルシー,5,固有名詞
ドーベルマン,ドーベルマン,5,固有名詞
テキサス,テキサス,5,固有名詞
ラップランド,ラップランド,5,固有名詞
チェン,チェン,5,固有名詞
シージ,シージ,5,固有名詞
タルラ,タルラ,5,固有名詞
ホルン,ホルン,5,固有名詞
フロストノヴァ,フロストノヴァ,5,固有名詞
マンフレッド,マンフレッド,5,固有名詞
フェイスト,フェイスト,5,固有名詞
ロゴス,ロゴス,5,固有名詞
ヘドリー,ヘドリー,5,固有名詞
ブレイズ,ブレイズ,5,固有名詞
クロージャ,クロージャ,5,固有名詞
デルフィーン,デルフィーン,5,固有名詞
ウェイ,ウェイ,5,固有名詞
バグパイプ,バグパイプ,5,固有名詞
イネス,イネス,5,固有名詞
テレジア,テレジア,5,固有名詞
テレシス,テレシス,5,固有名詞
パトリオット,パトリオット,5,固有名詞
ホシグマ,ホシグマ,5,固有名詞
ロスモンティス,ロスモンティス,5,固有名詞
メフィスト,メフィスト,5,固有名詞
ジェニー,ジェニー,5,固有名詞
ニアール,ニアール,5,固有名詞
クラウンスレイヤー,クラウンスレイヤー,5,固有名詞
ファウスト,ファウスト,5,固有名詞
W,ダブリュー,5,固有名詞
Mon3tr,モンスター,5,固有名詞
Logos,ロゴス,5,固有名詞
ロドス・アイランド,ロドスアイランド,5,固有名詞
ロドス,ロドス,5,固有名詞
ライン生命,ラインせいめい,5,固有名詞
レユニオン,レユニオン,5,固有名詞
ペンギン急便,ペンギンきゅうびん,5,固有名詞
近衛局,このえきょく,5,固有名詞
龍門,りゅうもん,5,固有名詞
チェルノボーグ,チェルノボーグ,5,固有名詞
ウルサス,ウルサス,5,固有名詞
ヴィクトリア,ヴィクトリア,5,固有名詞
ラテラーノ,ラテラーノ,5,固有名詞
シラクーザ,シラクーザ,5,固有名詞
カジミエーシュ,カジミエーシュ,5,固有名詞
リーベリ,リーベリ,5,固有名詞
ロンディニウム,ロンディニウム,5,固有名詞
ダブリン,ダブリン,5,固有名詞
イオーリア,イオーリア,5,固有名詞
クルビア,クルビア,5,固有名詞
レム・ビリトン,レムビリトン,5,固有名詞
イベリア,イベリア,5,固有名詞
カズデル,カズデル,5,固有名詞
サルカズ,サルカズ,5,固有名詞
サンクタ,サンクタ,5,固有名詞
ヴァルポ,ヴァルポ,5,固有名詞
バベル,バベル,5,固有名詞
源石,げんせき,5,普通名詞
鉱石病,こうせきびょう,5,普通名詞
オリパシー,オリパシー,5,普通名詞
オリジニウム,オリジニウム,5,普通名詞
アーツ,アーツ,5,普通名詞
感染者,かんせんしゃ,5,普通名詞
医療オペレーター,いりょうオペレーター,5,普通名詞
前衛オペレーター,ぜんえいオペレーター,5,普通名詞
狙撃オペレーター,そげきオペレーター,5,普通名詞
重装オペレーター,じゅうそうオペレーター,5,普通名詞
術師オペレーター,じゅつしオペレーター,5,普通名詞
補助オペレーター,ほじょオペレーター,5,普通名詞
特殊オペレーター,とくしゅオペレーター,5,普通名詞
ドクター,ドクター,5,固有名詞
